node_name/poi_id,checkin_cnt,poi_catid,latitude,longitude
46ea2358f964a520cf4a1fe3,7,4bf58dd8d48988d11d941735,40.76066702,-73.99494767
40fb0f00f964a520d90a1fe3,8,4bf58dd8d48988d11b941735,40.76064468,-73.98606474
428d2880f964a520b5231fe3,34,4bf58dd8d48988d1fa931735,40.75673069,-73.97406975
4e742aabc65bb91db3cadb79,4,4bf58dd8d48988d116941735,40.75730502,-73.96864019
3fd66200f964a520fbe71ee3,6,4bf58dd8d48988d16c941735,40.75881855,-73.9686574
49d2b43ef964a520cb5b1fe3,7,4bf58dd8d48988d1e0931735,40.720087,-74.003961
4aab0204f964a520855820e3,6,4bf58dd8d48988d14e941735,40.74131916,-74.00611595
467ffefcf964a52019481fe3,7,4bf58dd8d48988d10c941735,40.77917988,-73.95085242
4e691e82b9930387355c629d,18,4bf58dd8d48988d14e941735,40.72516293,-73.99215952
49dc03d9f964a520445f1fe3,5,4bf58dd8d48988d116941735,40.729658,-73.998515
3fd66200f964a52048e81ee3,4,4bf58dd8d48988d1e0931735,40.78588891,-73.97685908
3fd66200f964a520c5f11ee3,12,4bf58dd8d48988d14e941735,40.719607,-73.986764
4d9885ae647d8cfa23ccf03d,15,4bf58dd8d48988d1f7941735,40.72059137,-73.96331906
474d3e5df964a520a24c1fe3,12,4bf58dd8d48988d117941735,40.71653438,-73.96144836
4d1829fae190721e1b3f2021,11,4bf58dd8d48988d16f941735,40.717006,-73.956565
4a3df25ff964a520c2a21fe3,11,4bf58dd8d48988d164941735,40.72988184,-73.99101958
4b8f50d9f964a520365133e3,54,4bf58dd8d48988d1fd931735,40.64609878,-73.90266895
4cbfbedea0c4f04d1e085731,75,4bf58dd8d48988d1fd931735,40.73977054,-74.00258124
44d9e8dbf964a5208a361fe3,20,4bf58dd8d48988d1f5941735,40.72413519,-73.99778927
4a9efc7af964a520103c20e3,13,4bf58dd8d48988d1e0931735,40.66144182,-73.84009838
4b004499f964a520253c22e3,8,4bf58dd8d48988d1f6941735,40.65239545,-73.86983119
4ad71c45f964a520b50821e3,16,4bf58dd8d48988d1e0931735,40.74064692,-73.99104044
49f75667f964a5208b6c1fe3,8,4bf58dd8d48988d1f6941735,40.7221271,-73.99930899
42829c80f964a52025221fe3,8,4bf58dd8d48988d1e0931735,40.76590104,-73.96343432
4d48864b551db1f722e9a330,3,4bf58dd8d48988d175941735,40.64668884,-73.91399171
